common_name,scientific_name,temp_air_c,temp_water_c,soil_moisture,humidity,nutrient,ph,min_germination_days,max_germination_days,instructions
,"Aethonema grandiflora, kotschyi, membranaceum, and schistosum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Hyssop,"Agastache aurantiaca, barberi, cana, cusickii, foeniculum, nepetoides, pringlei, and rugosum,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Hyssop,"Agastache pallidiflora, and rupestris",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Hyssop,Agastache scrophulariaefolia,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 8 wks, move to 20ºC (68ºF) for germination"
,Agoseris cuspidata,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Agrimonia eupatoria, and procera",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Agropyron magellanicum,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Agropyron trachycaulum,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Agrostis hyemalis, and scabra",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Bugleweed,"Ajuga genevensis, and reptans",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Hollyhock,"Alcea ficifolia, and rosea",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Hollyhock,"Alcea pallida, and rugosa",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Lady's Mantle,"Alchemilla alpina, epipsila, erythropoda, hoppeana, mollis, saxatilis, and xanthochlora",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -6 to -7ºC (19-21ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Aletris farinosa,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Alisma lanceolatum, parviflorum, and plantago-aquatica",,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 2-4 wks, move to 0ºC (32ºF) for 4-6 wks, after which temperature should be raised gradually."
Ornamental Onion,"Allium acuminatum, aflatunense, atropurpureum, carinatum ssp. pulchellum, cernuum, christophii (albopilosum), cyathophorum v. farreri, fistulosum, flavum, giganteum, insubricum, jesdianum, moly, narcissiflorum, nigrum, oreophilum (ostrowskianum), praecox, pulchellum, rosenbachianum, sphaerocephalum, stellatum, stipitatum, ursinum, and victorialis",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Ornamental Onion,"Allium amethystinum, and hollandicum",,,,,,,,,"Sow at 4ºC (39ºF), germ. erratic"
Ornamental Onion,"Allium ampeloprasum , amphibolum, caeruleum, mairei, schoenoprasum, senescens, sikkimensis, and splendens",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Ornamental Onion,Allium karataviense,,,,,,,,,Sow outdoors in the fall for spring germ.
Ornamental Onion,"Allium neapolitanum, and ramosum (odorum)",,,,,,,,,Sow at 22ºC (72ºF) under constant humidity
Ornamental Onion,"Allium tanguticum, and tuberosum",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 6 wks, move to 20ºC (68ºF) for germination"
,Alionopsis spatulata,,,,,,,,,"Sow on the surface at 20ºC (68ºF) in light, germinates in less than two wks"
,Alonsoa meridionalis,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Alpinus alba,,,,,,,,,"Sow on the surface at 20ºC (68ºF) in light, germinates in less than two wks"
Peruvian Lily,"Alstroemeria aurantiaca, hookerii, ligtu, and pulchella",,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several mos."
,Althaea officinalis,,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several mos."
,Alyssoides utriculata,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Alyssum argenteum, montanum, repens, saxatile, serpyllifolium, spinosum, and wulfenianum",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Alyssum cuneifolium ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Alyssum petraeum,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Ammophila arenaria,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Amorpha canescens,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Ampelodesmos mauritanica,,,,,,,,,"Sow at 23ºC (73ºF), germinates in about 2 weeks"
,"Amsonia hubrichtii, illustris, orientalis, and tabernaemontana",,,,,,,,,"Sow at Max. 5ºC (41ºF) for 6 weeks, move to 20ºC (68ºF) for germ. in a few days. If no germ. in 3 wks, dig out seeds and give them 8 to 12 hr. soak."
,"Anacyclus depressus, and maroccanus",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Anaphalis alpicola, margaritacea, and triplinervis",,,,,,,,,"Surface sow at 20ºC (68ºF), germinates in about two wks"
,Anarrhinum bellidifolium,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Anchusa azurea, and officinalis",,,,,,,,,"Sow at 20ºC (68ºF) in light, germination slow"
,"Andropogon gerardi, scoparius, and virginicus",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Androsace albana, armeriaca, barbulata, ciliata, halleri, hirtella, mathildae, pubescens, pyrenaica, sempervirens, sericea, and spinulifera ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Androsace alpina, carnea, chamaejasme, lanuginosa, and villosa",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for irregular germination"
,"Androsace darwascia, and vandelii",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) indefinitely."
,Andryala aghardii,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Windflower,"Anemone baicalensis, barbulata, drummondii, gernica, lyallii, obtusiloba, parviflora, rupicola, and sylvestris",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Windflower,"Anemone canadensis, multifida, and rivularis",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for slow germination"
Windflower,"Anemone baldensis, caroliniana, cylindrica, hortensis, hupehensis, leveillei, magellanica, narcissiflora, tomentosa, and virginiana",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Windflower,Anemone nemorosa,,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
Windflower,Anemone ranunculoides,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -5ºC (23ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for slow germination"
Windflower,Anemone vernalis,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Windflower,Anemone x lesseri,,,,,,,,,"Sow immediately outdoors. Seed will germinate in the spring or sow at 20ºC (68ºF), slow germ."
,Anemonopsis macrophylla,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Angelica,"Angelica archangelica, and pachycarpa",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Angelica,"Angelica atropurpurea, and gigas",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Antennaria alpina, carpatica, dioica, friesiana, howellii, magellanica, neglecta, parvifolia, plantaginifolia, and rosea",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Chamomile,"Anthemis carpatica, nobilis, rudolphiana, sancti-johannis, and tinctoria",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Anthericum liliago, and ramosum",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Anthoxanthum odoratum,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Anthriscus sylvestris,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Anthyllis montana,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Anthyllis vulneraria,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Antirrhinum braun-blanquetti,,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in less than two wks"
,Antirrhinum sempervirens,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Apocynum androsaemifolium,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Apocynum cannabinum,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Columbine,"Aquilegia alpina , buergeriana, canadensis, flabellata, formosa, glandulosa, nevadensis, saximontana, transylvanica, viridiflora, and vulgaris",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Columbine,Aquilegia atrata,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Columbine,"Aquilegia bertolonii, caerulea, clematiflora, laramiensis, longissima, rockii, scopulorum, and siberica",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Columbine,"Aquilegia chrysantha,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Columbine,Aquilegia olympica,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) indefinitely."
Rockcress,"Arabis alpina, aubrietoides, blepharophylla, caucasica, muralis, scopoliana, and stelleri",,,,,,,,,"Sow on the surface at 20ºC (68ºF) in light, germinates in less than two wks"
Rockcress,Arabis lyrata,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Rockcress,Arabis procurrens,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Aralia cachmeriana, and racemosa",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Arctium lappa,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Arctostaphylos uva-ursi,,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Arenaria balearica, gracilis, grandiflora, ledebouriana, pungens, purpurascens, and tmolea",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Arenaria festucoides, montans, and rubella",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) indefinitely."
,Arenaria stricta,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Arisaema flavum,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Arisaema consanguineum, and triphyllum",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Aristolochia clematitis,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Sea Thrift,"Armeria x 'Formosa', leucocephala, maritima",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Sea Thrift,Armeria juniperifolia,,,,,,,,,"Soak seed o/n, sow at 20ºC (68ºF), germinates in less than two wks"
Sea Thrift,"Armeria plantaginea (syn. alliacea), pseudoarmera (syn. latifolia), rhodopensis, and tweedy",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Arnica,"Arnica chamissonis, frigida, and montana",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Wormwood,"Artemisia absinthium, ludoviciana, and serrata",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Wormwood,"Artemisia chamaemelifolia, dracunculus, genipi, laxa, stelleriana, and vulgaris",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Arum alpinum, creticum, dioscoridis, italicum, and maculatum",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
Goat's Beard,Aruncus aethusifolius,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 4-8 wks, move to 20ºC (68ºF) for germination"
Goat's Beard,"Aruncus dioicus, kamtschaticus, and sinensis",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Asarina procumbens,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Asarum canadense, and europaeum",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
Milkweed,"Asclepias amplexicaulis, hirtella, purpurascens, sullivanti, verticillata, and viridiflora",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Milkweed,"Asclepias exaltata , incarnata, and tuberosa",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 4 wks in moistened sand, move to 20ºC (68ºF) for germination"
Milkweed,"Asclepias fascicularis, physocarpa, and syriaca",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Milkweed,Asclepias speciosa,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Asperula odorata,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Asphodeline liburnica , and lutea",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Asphodelus albus, microcarpus, and ramosus",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) very slow germinator, often a year or two"
Aster,"Aster alpinus, amellus, azureus, coloradoensis, cordifolius, delavayi (diplostephoides), farreri, laevis, lateriflorus v. horizontalis, linariifolius, novae-angliae, novi-belgii, oblongifolius, pilosus, sagittifolius v drummondii, sericeus, sibiricus, simplex, tongolensis, and x fricartii",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Aster,"Aster bigelovii, divaricatus, ericoides, linosyris, macrophyllus, ptarmicoides, puniceous , turbinellus, and umbellatus",,,,,,,,,"Sow at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Aster,Aster stracheyi,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Astilbe,"Astilbe x arendsii, chinensis, and x japonica",,,,,,,,,"Sow on the surface at 20ºC (68ºF) in light, germ. in less than two wks"
Astilbe,"Astilbe myriantha, and simplicifolia",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Astilboides tabularis,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF)"
,Astragalus alopecuroides,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) indefinitely."
,"Astragalus canadensis , and centralpinus",,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Sow at 20ºC (68ºF), germinates in less than 2 weeks"
,Astragalus glycyphyllos,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Astragalus monspessulanus, and norvegicus",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53º) for germ."
Masterwort,"Astrantia carniolica, grandiflora, major, and maxima",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53º) for germ."
,Asyneuma canescens,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Athamantha cretensis,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Aubrieta,"Aubrieta deltoidea, and x cultorum",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Baccharis halimifolia,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Baldellia ranunculoides,,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 2-4 wks, move to 0ºC (32ºF) for 4-6 wks, after which temperature should be raised gradually."
,Balsamorhiza hookeri,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 4 wks, move to 20ºC (68ºF) for germination"
,Balsamorhiza sagittata,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
False Indigo,"Baptisia australis, leucantha, and leucophaea",,,,,,,,,"Pour hot water over seeds, let soak 1-3 days until swelling noticeable. Sow at 20ºC (68ºF) for germination in more than two weeks."
False Indigo,Baptisia pendula,,,,,,,,,"Pour hot water over seeds, let soak 1-3 days until swelling noticeable. Sow at 20ºC (68ºF) for germination in more than two weeks."
,Bartsia alpina,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Belamcanda chinensis,,,,,,,,,"Surface sow at 20ºC (68ºF) in light under constant humidity, germination slow"
Daisy,Bellis perennis,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Berardia subacaulis,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Berchemia racemosa,,,,,,,,,"Sow at 24ºC (75ºF), germinates in less than two wks"
Elephant Ears,"Bergenia cordifolia, crassifolia, and purpurascens",,,,,,,,,"Sow at 22-24ºC (72-75ºF), germination in less than 2 weeks"
,Berlandiera lyrata,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Besoniella oregana,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Biarum carduchorum,,,,,,,,,"Surface sow at 20ºC (68ºF) in light under constant humidity, germination slow"
,Blephilia ciliata,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Bloomeria crocea,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Boltonia asteroides,,,,,,,,,"Sow on the surface at 20ºC (68ºF) in light, germinates in less than two wks"
,Boltonia latisquamia,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Bouteloua curtipendula, and hirsuta",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Bouteloua curtipendula, and gracilis",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Boykinia occidentalis, and rotundiflora",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Brachypodium sylvaticum,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Braya alpina,,,,,,,,,"Pour hot water over seeds, let soak 1-3 days until swelling noticeable. Sow at 20ºC (68ºF) for germination in less than two weeks."
,Briza media,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Brodiaea coronaria, and douglasii",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Bruckenthalia spiculifolia,,,,,,,,,"Surface sow at Max. 5ºC (41ºF), germination irregular, often several months"
Butterfly Bush,Buddleia davidii,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Bulbinella angustifolia, gibbsii, and hookeri",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Buphthalmum salicifolium,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Bupleurum falcatum, longifolium, and ranunculoides",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Buchloe dactyloides,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Cacalia atriplicifolia, and tuberosa",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Cachrys alpina ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Calamagrostis arundinacea, brachytrichia, and epigejos",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Calamagrostis canadensis,,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
,Calamintha grandiflora,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Calamintha nepeta, and sylvatica",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Calandrina grandiflora,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Calandrina umbellata,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Calceolaria alba, biflora, chelidonioides, falklandica, fiebrigiana, filthergillii, polyrrhiza, and mexicana",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Calla palustris,,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 2-4 wks, move to 0ºC (32ºF) for 4-6 wks, after which temperature should be raised gradually."
,Callirhoe involucrata,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Callirhoe triangulata,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Calluna vulgaris,,,,,,,,,"Surface sow at +4ºC (39ºF), germ. erratic, often many months"
,"Caltha leptosepala, palustris, and polypetala",,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 2-4 wks, move to -5ºC (23ºF) for 4-6 wks, after which temperature should be raised gradually. Sow seed immediately after harvest."
